source_id	split	sha256	original_url	fallback_urls
openimages-cvdf-v5-boxable:5132c8ffbc8e39e2	train	6b2f3882d016d7e88313c6c9b1edf679d4b482addbef2463e6bf73f07562e6d9	https://open-images-dataset.s3.amazonaws.com/train/5132c8ffbc8e39e2.jpg	
openimages-cvdf-v5-boxable:1780b09aeeb62705	train	98973c6d879891ddff1a8e8d9636c14e231779f39a3e6c9a93f6608203e9e4b2	https://open-images-dataset.s3.amazonaws.com/train/1780b09aeeb62705.jpg	
openimages-cvdf-v5-boxable:08a2d7ec22dbdade	train	22666259269bc610b36ef30726f7a94f55a3828506d2f872661a4703c2e3a02f	https://open-images-dataset.s3.amazonaws.com/train/08a2d7ec22dbdade.jpg	
wikimedia-commons:112802779	train	7353ad338df67c6cafdfb66216aeeb65d351aa40ba05b986abbdc35e8c7b91d1	https://upload.wikimedia.org/wikipedia/commons/3/3e/Ou4_sh2-129_wf_c_lshorgb_2193m%2B3489m%2B2060m%2B120m_7876m_131h.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original	
openimages-cvdf-v5-boxable:0b0e8edc3fb6dfd4	train	c573ef0cb939f850f5d610590ca1cb961b3554fbf93185cc606271f60774b282	https://open-images-dataset.s3.amazonaws.com/train/0b0e8edc3fb6dfd4.jpg	
openimages-cvdf-v5-boxable:1f4e49cb63cf6326	train	99616c842eb510d7849376d00d648d91322a39d008ac9f2d3b7e66e3980ae4e4	https://open-images-dataset.s3.amazonaws.com/train/1f4e49cb63cf6326.jpg	
openimages-cvdf-v5-boxable:443327efddef161c	train	d1681ba9bf4b365ccde73be6f6f8c5ee1b4c8df76b236f4d5324e3e831137862	https://open-images-dataset.s3.amazonaws.com/train/443327efddef161c.jpg	
smithsonian-open-access:ld1-1643381040022-1643381044096-1	train	1d04d190ee8a5da32e92c153db35c7736e65fc12c8b81baedab42bc1321f0153	https://ids.si.edu/ids/download?id=SAAM-1959.10.18_1.jpg	
openimages-cvdf-v5-boxable:e5346c342564f556	train	b00a4187b34bd6a893d1a69d2320063d5d71cdb38f3ea0abce12369ab023be78	https://open-images-dataset.s3.amazonaws.com/train/e5346c342564f556.jpg	
openimages-cvdf-v5-boxable:8d04af1207f4e67d	train	875fbab5941101fed4e281cbb7c5ec5a96671fe934fc239ad8041d9f625c5aca	https://open-images-dataset.s3.amazonaws.com/train/8d04af1207f4e67d.jpg	
openimages-cvdf-v5-boxable:28c5ada8c349d526	train	f1bf939d73ac45a13472d7796fe72786c23f83b2a49639f5634b041f6bb4a85a	https://open-images-dataset.s3.amazonaws.com/train/28c5ada8c349d526.jpg	
openimages-cvdf-v5-boxable:6622cf36022feb9c	train	aef5f8e21e7d954c7daa3b68dc3d9b2f4145ba75d1a91e7378538084a19d23ab	https://open-images-dataset.s3.amazonaws.com/train/6622cf36022feb9c.jpg	
wikimedia-commons:53479642	train	a95f5d39708cefff001a42343a3939355be5e861586d8132bd5e3e41b98793f4	https://upload.wikimedia.org/wikipedia/commons/3/31/%28%28%28_%D9%86%D9%85%D8%A7%DB%8C%DB%8C_%D8%A7%D8%B2_%D8%B1%D9%88%D8%B3%D8%AA%D8%A7%DB%8C_%D8%A7%D9%88%D8%B2%D9%88%D9%86_%D8%A7%D9%88%D8%A8%D8%A7%DB%8C_%D9%85%D8%B1%D8%A7%D8%BA%D9%87%29%29%29_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original	
openimages-cvdf-v5-boxable:b1e451ff7cf1f458	train	611f37d52efa1acb0512129fe7923d1c5631d4949f8a7f72ccdfa67d494fab9d	https://open-images-dataset.s3.amazonaws.com/train/b1e451ff7cf1f458.jpg	
openimages-cvdf-v5-boxable:132a9aeb085f7f93	train	a20c73524a2666866f684776ca9dc6fb273b7c4633c2c89f24919088b8601c82	https://open-images-dataset.s3.amazonaws.com/train/132a9aeb085f7f93.jpg	
openimages-cvdf-v5-boxable:db34071b537ece91	train	50a7a60bb02ca345376dbc067a9914fb1d0be338ed40fb00ff70f2a7961eeb97	https://open-images-dataset.s3.amazonaws.com/train/db34071b537ece91.jpg	
openimages-cvdf-v5-boxable:5dac3c77e9a9a6c9	train	d61ad88dda97290eff131b27225fdf14d6b4c57c015f9b5e131f8ef5f21b950a	https://open-images-dataset.s3.amazonaws.com/train/5dac3c77e9a9a6c9.jpg	
smithsonian-open-access:ld1-1643381040022-1643381064595-0	train	accc6eb85fcea9138eb5398bc233fa6e92210f712a082b4f788ca9c4ed10a9c4	https://ids.si.edu/ids/download?id=SAAM-1950.2.63_1.jpg	
openimages-cvdf-v5-boxable:a11d05f18bc0ecbf	train	5bfc3eccd1324912e873fb4c3dced9e1bcc07a634344d5b84f0c59705b68ffe7	https://open-images-dataset.s3.amazonaws.com/train/a11d05f18bc0ecbf.jpg	
openimages-cvdf-v5-boxable:ad79847276d7cf03	train	fc586c4708431fb80b473146eefb3d17209d5ac2b03d24cdc61cc89b3178dbd8	https://open-images-dataset.s3.amazonaws.com/train/ad79847276d7cf03.jpg	
openimages-cvdf-v5-boxable:c50c2cdb5331267a	train	c878db85ac3cd8950152f20942f40f34292a8d9686948566d0a9d7de281a8ad5	https://open-images-dataset.s3.amazonaws.com/train/c50c2cdb5331267a.jpg	
wikimedia-commons:98028666	train	11db3947980feb86eed328a7b9cead295d59f957e263c76b528c122574633bde	https://upload.wikimedia.org/wikipedia/commons/b/b4/%22Jim_the_elephant_visits_Finsbury_Park%22_from_The_People%27s_Park_exhibition.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original	
openimages-cvdf-v5-boxable:ee434590d93e3c79	train	982378ea52253d4de9e6c76f05ec5f4b7c18eced3bdec03afe3abaa3476c34c9	https://open-images-dataset.s3.amazonaws.com/train/ee434590d93e3c79.jpg	
openimages-cvdf-v5-boxable:735921414562a18a	train	b5e24bc81b296ad18a6f9db9d577f090ee40cfcb826ad5dee6b9d3569799be9e	https://open-images-dataset.s3.amazonaws.com/train/735921414562a18a.jpg	
openimages-cvdf-v5-boxable:07c458c617731c40	train	389c5984fe06a2250335044a773f7128009f2f0d67a60d37dfd981d712069afb	https://open-images-dataset.s3.amazonaws.com/train/07c458c617731c40.jpg	
openimages-cvdf-v5-boxable:8cf8909cf6f4aa43	train	9d14f0463d686abfdc88f3acecb88026394dc85c8c3134264596dc5027c8ba9b	https://open-images-dataset.s3.amazonaws.com/train/8cf8909cf6f4aa43.jpg	
openimages-cvdf-v5-boxable:66e85eaea8cdc00e	train	d20847b2b339146ba874a450a3a3ca12cc94fd2a76f505d8dd41cbd95cf5a5f7	https://open-images-dataset.s3.amazonaws.com/train/66e85eaea8cdc00e.jpg	
openimages-cvdf-v5-boxable:ea672f485c36ad85	train	cee1074d5c3cbf582562ac7d49397234311fb36bafc680d23a4a71b764f94098	https://open-images-dataset.s3.amazonaws.com/train/ea672f485c36ad85.jpg	
wikimedia-commons:105539480	train	2fd331f3810d3ef0b0cb70ae4293deb4f1f41d35c26d53b94c2bd3fc5817aa9c	https://upload.wikimedia.org/wikipedia/commons/8/89/%22Man_met_kalf%22_standbeeld_met_zicht_op_op_Zevenhuizen_en_Grote_kerk_Tussen_ongeveer_de_jaren_1960_en_-_RAA-DMGA-00441_-_RAA_Elsinga.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original	
openimages-cvdf-v5-boxable:48c3077a9db83f75	train	b89677a106bf0e54f2b388ffc75df758f070e4524f7e366df9066674c2f2b00a	https://open-images-dataset.s3.amazonaws.com/train/48c3077a9db83f75.jpg	
openimages-cvdf-v5-boxable:81912c4bbee35cb4	train	529cbf6018836a31d9064c2d410c527d1022f7b707afcda40dc9cb96c23d77be	https://open-images-dataset.s3.amazonaws.com/train/81912c4bbee35cb4.jpg	
openimages-cvdf-v5-boxable:d686783de91eb626	train	dd8fd5fd6f8b4e11ffef0ac717c9246a737f306b9b9a5e15f4f63aaba3039872	https://open-images-dataset.s3.amazonaws.com/train/d686783de91eb626.jpg	
smithsonian-open-access:ld1-1643406126934-1643406142079-1	train	7b92bd5921fdc74dbd0a2a1885e60265cdeb64a76b51c10ba6e1fb1a7de0295e	https://ids.si.edu/ids/download?id=NMNH-GRA980082_ppl_20160115T160126-000001.jpg	
openimages-cvdf-v5-boxable:c6245a09043fc658	train	4e23fd8824f9f103737ebb06001f99441cbaa3835101553edd0ac46a52609850	https://open-images-dataset.s3.amazonaws.com/train/c6245a09043fc658.jpg	
openimages-cvdf-v5-boxable:04ff1cfea398bce7	train	ba162f7bce57d6901502d1c730e3cfd7b567b7b89c6b59d8edfb914f2278d145	https://open-images-dataset.s3.amazonaws.com/train/04ff1cfea398bce7.jpg	
openimages-cvdf-v5-boxable:e26763d472c628b6	train	7dfb46b5361ebab9b57e0ed862f72fd608be68d9cc4b5e8a7273cb21121b3c08	https://open-images-dataset.s3.amazonaws.com/train/e26763d472c628b6.jpg	
openimages-cvdf-v5-boxable:1898fe5ee850ebb3	train	7994a7c4c1a86ffef77c9723d8a06a9e3b161fbb911a2daf50c22d7051d77f76	https://open-images-dataset.s3.amazonaws.com/train/1898fe5ee850ebb3.jpg	
wikimedia-commons:65657896	train	a2e92e74519f2bdb230d59c7af2396464f69aae6d0f66cc8c28961f43cd968ac	https://upload.wikimedia.org/wikipedia/commons/c/c3/%226._One_of_the_deities_inside_Krosejuri_temple_premises_at_Purulia_District.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original	
openimages-cvdf-v5-boxable:4177a51592ce653b	train	ff1e25cd63053869c02b3b716f6bffbae90d13c7a103e0544876eff0c73c92cf	https://open-images-dataset.s3.amazonaws.com/train/4177a51592ce653b.jpg	
openimages-cvdf-v5-boxable:cc40fb4feb006d5f	train	eaa36567571c503c50175829b780b35ba7d5ac3e04c2794d50660dfd31e8946b	https://open-images-dataset.s3.amazonaws.com/train/cc40fb4feb006d5f.jpg	
openimages-cvdf-v5-boxable:075cf63be9c98498	train	6c729fbec56e03c3105c09181b2f908301acbae6cebcab5c7b768cb5285a863c	https://open-images-dataset.s3.amazonaws.com/train/075cf63be9c98498.jpg	
openimages-cvdf-v5-boxable:01898a7f1ee86211	train	948c764ac890c2a265987c66e1d1fb93dcbebe5e64b3b2c157250924ce2a492b	https://open-images-dataset.s3.amazonaws.com/train/01898a7f1ee86211.jpg	
smithsonian-open-access:ld1-1643410850983-1643410923784-1	train	237a301026717ad1186f773402abe518cc4f32890258bda5cc2312853b64dee2	https://ids.si.edu/ids/download?id=NMNH-WLW.0278.jpg	
openimages-cvdf-v5-boxable:fda5c438ecb096e0	train	87b5afca40a82d35ff2b16f62e1a7443b5820ff70d88171c267a3a9a0c3487e2	https://open-images-dataset.s3.amazonaws.com/train/fda5c438ecb096e0.jpg	
openimages-cvdf-v5-boxable:2f67b2e778e311dc	train	7cd7fed0e2df4158558dbf95cb8e77fa8dd14d06b642b833f32c7e5bb724dedd	https://open-images-dataset.s3.amazonaws.com/train/2f67b2e778e311dc.jpg	
openimages-cvdf-v5-boxable:a3fff83ffe50536f	train	876b88426756e5d90dceb44c81d36e6f5d26baa0a5f4b8ce4bf18e9ab887c175	https://open-images-dataset.s3.amazonaws.com/train/a3fff83ffe50536f.jpg	
wikimedia-commons:91898478	train	6c7d198f5144303f63df10f105b33d02275f96d13feb7761da740bb29a2072a2	https://upload.wikimedia.org/wikipedia/commons/8/8b/%22Bird_Evolution%22_Fossil_Series_%2810151396044%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original	
openimages-cvdf-v5-boxable:c46d78905d5f87c8	train	2943a54d69bdd6fd1d878c90bfec481f4fc2003f09bcdcee882b9b1dceac12dc	https://open-images-dataset.s3.amazonaws.com/train/c46d78905d5f87c8.jpg	
openimages-cvdf-v5-boxable:0b14c888d9690424	train	5cae19ec24bd4744ccda839fd119829fe637b383cd665dc67a0e07edd24805b0	https://open-images-dataset.s3.amazonaws.com/train/0b14c888d9690424.jpg	
openimages-cvdf-v5-boxable:be3436f55acfc856	train	5bfe5065fcfa8a5e4bc56447c94c73246216b5f8a8af20db9aa676d11a826cd0	https://open-images-dataset.s3.amazonaws.com/train/be3436f55acfc856.jpg	
openimages-cvdf-v5-boxable:0c1a66f9da5dd601	train	a845f569bb6f32589d36f93424307f31220701d68242f7d747395b3934abc793	https://open-images-dataset.s3.amazonaws.com/train/0c1a66f9da5dd601.jpg	
